libav:  avdec_frwu: libav Forward Uncompressed decoder
libav:  avdec_g2m: libav Go2Meeting decoder
libav:  avdec_g722: libav G.722 ADPCM decoder
libav:  avdec_g723_1: libav G.723.1 decoder
libav:  avdec_g726: libav G.726 ADPCM decoder
libav:  avdec_g726le: libav G.726 ADPCM little-endian decoder
libav:  avdec_g729: libav G.729 decoder
libav:  avdec_gdv: libav Gremlin Digital Video decoder
libav:  avdec_gif: libav GIF (Graphics Interchange Format) decoder
libav:  avdec_gremlin_dpcm: libav DPCM Gremlin decoder
libav:  avdec_gsm: libav GSM decoder
libav:  avdec_gsm_ms: libav GSM Microsoft variant decoder
libav:  avdec_h261: libav H.261 decoder
libav:  avdec_h263: libav H.263 / H.263-1996, H.263+ / H.263-1998 / H.263 version 2 decoder
libav:  avdec_h263i: libav Intel H.263 decoder
libav:  avdec_h263p: libav H.263 / H.263-1996, H.263+ / H.263-1998 / H.263 version 2 decoder
libav:  avdec_h264: libav H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10 decoder
libav:  avdec_h265: libav HEVC (High Efficiency Video Coding) decoder
libav:  avdec_hap: libav Vidvox Hap decoder
libav:  avdec_hca: libav CRI HCA decoder
libav:  avdec_hcom: libav HCOM Audio decoder
libav:  avdec_hnm4video: libav HNM 4 video decoder
libav:  avdec_hq_hqa: libav Canopus HQ/HQA decoder
libav:  avdec_hqx: libav Canopus HQX decoder
libav:  avdec_huffyuv: libav Huffyuv / HuffYUV decoder
libav:  avdec_hymt: libav HuffYUV MT decoder
libav:  avdec_iac: libav IAC (Indeo Audio Coder) decoder
libav:  avdec_idcinvideo: libav id Quake II CIN video decoder
libav:  avdec_idf: libav iCEDraw text decoder
libav:  avdec_iff: libav IFF ACBM/ANIM/DEEP/ILBM/PBM/RGB8/RGBN decoder
libav:  avdec_ilbc: libav iLBC (Internet Low Bitrate Codec) decoder
libav:  avdec_imc: libav IMC (Intel Music Coder) decoder
libav:  avdec_imm4: libav Infinity IMM4 decoder
libav:  avdec_imm5: libav Infinity IMM5 decoder
libav:  avdec_indeo2: libav Intel Indeo 2 decoder
libav:  avdec_indeo3: libav Intel Indeo 3 decoder
libav:  avdec_indeo4: libav Intel Indeo Video Interactive 4 decoder
libav:  avdec_indeo5: libav Intel Indeo Video Interactive 5 decoder
libav:  avdec_interplay_dpcm: libav DPCM Interplay decoder
libav:  avdec_interplayacm: libav Interplay ACM decoder
libav:  avdec_interplayvideo: libav Interplay MVE video decoder
libav:  avdec_ipu: libav IPU Video decoder
libav:  avdec_jpeg2000: libav JPEG 2000 decoder
libav:  avdec_jpegls: libav JPEG-LS decoder
libav:  avdec_jv: libav Bitmap Brothers JV video decoder
libav:  avdec_kgv1: libav Kega Game Video decoder
libav:  avdec_kmvc: libav Karl Morton's video codec decoder
libav:  avdec_lagarith: libav Lagarith lossless decoder
libav:  avdec_loco: libav LOCO decoder
libav:  avdec_lscr: libav LEAD Screen Capture decoder
libav:  avdec_m101: libav Matrox Uncompressed SD decoder
libav:  avdec_mace3: libav MACE (Macintosh Audio Compression/Expansion) 3:1 decoder
libav:  avdec_mace6: libav MACE (Macintosh Audio Compression/Expansion) 6:1 decoder
libav:  avdec_magicyuv: libav MagicYUV video decoder
libav:  avdec_mdec: libav Sony PlayStation MDEC (Motion DECoder) decoder
libav:  avdec_metasound: libav Voxware MetaSound decoder
libav:  avdec_mimic: libav Mimic decoder
libav:  avdec_mjpeg: libav MJPEG (Motion JPEG) decoder
libav:  avdec_mjpegb: libav Apple MJPEG-B decoder
libav:  avdec_mlp: libav MLP (Meridian Lossless Packing) decoder
libav:  avdec_mmvideo: libav American Laser Games MM Video decoder
libav:  avdec_mobiclip: libav MobiClip Video decoder
libav:  avdec_motionpixels: libav Motion Pixels video decoder
libav:  avdec_mp1float: libav MP1 (MPEG audio layer 1) decoder
libav:  avdec_mp2float: libav MP2 (MPEG audio layer 2) decoder
libav:  avdec_mp3: libav MP3 (MPEG audio layer 3) decoder
libav:  avdec_mp3adu: libav ADU (Application Data Unit) MP3 (MPEG audio layer 3) decoder
libav:  avdec_mp3adufloat: libav ADU (Application Data Unit) MP3 (MPEG audio layer 3) decoder
libav:  avdec_mp3float: libav MP3 (MPEG audio layer 3) decoder
libav:  avdec_mp3on4: libav MP3onMP4 decoder
libav:  avdec_mp3on4float: libav MP3onMP4 decoder
libav:  avdec_mpc7: libav Musepack SV7 decoder
